النشاط الاقتصادي,المحافظة,الولاية,عدد_المرات
معاينة وفحص الوحدات البحرية التي لا تشملها المعاهدات البحرية الدولية,ظفار,صلالة,
شحن وتفريغ البضائع التي يزيد وزنها على 25كغم,ظفار,صلالة,
النقل البري للركاب بالحافلات المنتظم (بين المدن),ظفار,صلالة,
مستودعات الأغذية والأدوية واللحوم (التي تخضع للتفتيش الصحي),ظفار,صلالة,
النقل المائي البحري والساحلي بين الدول للبضائع,ظفار,صلالة,
تركيب وتمديد وإصلاح الأعمال الكهربائية,ظفار,صلالة,
جمع البطاريات والزيوت المستعملة,ظفار,صلالة,
أنشطة أخرى لإعادة دوران النفايات والخردة الفلزية (المعدنية),ظفار,صلالة,
التخلص من المخلفات الصناعية الخطرة,ظفار,صلالة,
نقل وبيع مياه الشرب,ظفار,صلالة,
انتاج السماد من المواد العضوية,ظفار,صلالة,
تنقية المياه وتوزيع المياه,ظفار,صلالة,
تربية البقر أو الجاموس أو الضأن أو الماعز للاستهلاك العائلي (الزرايب),ظفار,صلالة,
محلات شوي الأسماك والمأكولات البحرية,ظفار,صلالة,
المقاهي التي تقدم وجبات الطعام أساسا,ظفار,صلالة,
المطاعم,ظفار,صلالة,
محلات البوظة (الآيس كريم),ظفار,صلالة,
الشقق المفروشة (الفندقية),ظفار,صلالة,
شركات تجهيز الطعام (تموين وإعاشة),ظفار,صلالة,
المقاهي التي تقدم مشروبات أساسا,ظفار,صلالة,
محلات شوي اللحوم (المشاكيك),ظفار,صلالة,
الفنادق والموتيلات والمنتجعات,ظفار,صلالة,
المخيمات السياحية,ظفار,صلالة,
تقديم خدمات الضيافة,ظفار,صلالة,
محلات بيع العصائر,ظفار,صلالة,
بيع الذرة,ظفار,صلالة,
مقهى متنقل,ظفار,صلالة,
بيوت الضيافة,ظفار,صلالة,
إصلاح وصيانة الأجهزة الإلكترونية (يشمل إصلاح الراديو والتليفزيون والأقراص المدمجة),ظفار,صلالة,
غسيل جميع أنواع الملابس والمنسوجات,ظفار,صلالة,
إصلاح وصيانة الغسالات والثلاجات والمكيفات,ظفار,صلالة,
قص وتصفيف الشعر والحلاقة للرجال,ظفار,صلالة,
تصفيف الشعر وأنواع التجميل للنساء,ظفار,صلالة,
كي الملابس,ظفار,صلالة,
إصلاح الأحذية والمنتجات الجلدية,ظفار,صلالة,
إصلاح وصيانة أجهزة الحاسوب والمعدات الطرفية للحاسوب,ظفار,صلالة,
الأندية الصحية (مساج ،حمام بخاري ....إلخ),ظفار,صلالة,
إصلاح الدراجات الهوائية,ظفار,صلالة,
إصلاح وصيانة الهواتف النقالة,ظفار,صلالة,
غسيل الملابس وكيها بالبخار (الغسيل الجاف),ظفار,صلالة,
إدارة المشاريع الصناعية,ظفار,ضلكوت,1.0
المخازن التجارية العامة,ظفار,ضلكوت,
أنشطة تخطيط وتصميم المناظر الطبيعية,ظفار,ضلكوت,
أنشطة تصميم الديكور الداخلي,ظفار,ضلكوت,
أنشطة التصميم على الشاشات,ظفار,ضلكوت,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,ضلكوت,
صنع منتجات خشبية متنوعة (ورش نجارة),ظفار,ضلكوت,
الطباعة بإستخدام الآلات الناسخة والحاسب الآلي والآلات المكتبية الأخرى مثل ناسخات الصور أو الناسخات الحرارية,ظفار,ضلكوت,
مطابع غير متخصصة,ظفار,ضلكوت,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,ضلكوت,
صنع الطابوق الأسمنتي المفرغ والآجار,ظفار,ضلكوت,
قص وتفصيل الستائر,ظفار,ضلكوت,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,ضلكوت,
صنع وتفصيل ملابس الرجال والنساء والأطفال الأخرى,ظفار,ضلكوت,
المطاعم,ظفار,ضلكوت,
الفنادق والموتيلات والمنتجعات,ظفار,ضلكوت,
أنشطة دعم الخدمات للحكومة ككل، بإستثناء تشغيل المحفوظات الحكومية والمباني الحكومية,ظفار,طاقة,27.0
المخازن التجارية العامة,ظفار,طاقة,21.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,طاقة,2.0
إدارة الصالات,ظفار,طاقة,1.0
إدارة المشاريع السياحية,ظفار,طاقة,1.0
إدارة وتشغيل محطات تعبئة غاز البترول المسال (غاز الطبخ),ظفار,طاقة,1.0
أنشطة الخدمة العامة (الشاملة),ظفار,طاقة,1.0
وزساطة العقارات (مكاتب الدلاليل),ظفار,طاقة,1.0
شراء وبيع الأراضي والعقارات وتقسيمها,ظفار,طاقة,1.0
إدارة المباني الحكومية (المملوكة أو المؤجرة),ظفار,طاقة,1.0
تثمين الممتلكات,ظفار,طاقة,
وكيل تأمين بالعمولة,ظفار,طاقة,
أنشطة تصميم الديكور الداخلي,ظفار,طاقة,
مؤسسات ووكالات الدعاية والإعلان,ظفار,طاقة,
تقييم وتثمين الموجودات والممتلكات (لا تشمل الممتلكات العقارية أو تقدير الخسائر للتأمين),ظفار,طاقة,
أنشطة تخطيط وتصميم المناظر الطبيعية,ظفار,طاقة,
خدمات الترجمة,ظفار,طاقة,
مكاتب الإستشارات الهندسية المعمارية,ظفار,طاقة,
التطوير العقاري,ظفار,طاقة,
أنشطة التصميم على الشاشات,ظفار,طاقة,
مختبر للفحوص والاختبار (مطابقة المواصفات),ظفار,طاقة,
أنشطة استوديوهات ومعامل التصوير,ظفار,طاقة,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,طاقة,
تمديد وصيانة شبكات الغاز للمباني,ظفار,طاقة,
أعمال الحفر وردم الأراضي وتسويتها,ظفار,طاقة,
أعمال تنفيذ التصميم الداخلي (التجصيص والطلاء والتزيين),ظفار,طاقة,
مقاولات إنشاء شبكات ومحطات المياه والكهرباء والهاتف,ظفار,طاقة,
استخراج الأسمدة الطبيعية,ظفار,طاقة,
رياض الأطفال,ظفار,طاقة,
مراكز التدريب المهني,ظفار,طاقة,
جمع اللبان,ظفار,طاقة,
تربية الدواجن,ظفار,طاقة,
مزارع انتاجية للخضروات,ظفار,طاقة,
خدمات زراعية متعددة,ظفار,طاقة,
تربية الخيول والحيوانات الخيلية الأخرى,ظفار,طاقة,
تربية النحل وانتاج العسل وشمع العسل,ظفار,طاقة,
صنع الطابوق الأسمنتي المفرغ والآجار,ظفار,طاقة,
صنع الحلويات العربية تشمل المعمول وخلافه,ظفار,طاقة,
تبريد وتجميد اللحوم,ظفار,طاقة,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,طاقة,
صنع منتجات خشبية متنوعة (ورش نجارة),ظفار,طاقة,
ورش الألمنيوم,ظفار,طاقة,
صنع وتجهيز البخور,ظفار,طاقة,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,طاقة,
صنع المنتجات الحرفية من الفخار والخزف,ظفار,طاقة,
الطباعة بإستخدام الآلات الناسخة والحاسب الآلي والآلات المكتبية الأخرى مثل ناسخات الصور أو الناسخات الحرارية,ظفار,طاقة,
قص وتفصيل المفروشات والأصناف المحشوة والأغطية المنزلية مثل الملاءات، أكياس الوسائد، المفارش، الألحفة، الوسائد، وأكياس النوم للرحلات وأنواع البياضات الأخرى .. إلخ,ظفار,طاقة,
العمليات المنفذة على الأحجار الخشنة خارج المحاجر مثل النشر والصقل والطحن ... إلخ,ظفار,طاقة,
صنع الخبز ومنتجاته,ظفار,طاقة,
تفصيل وخياطة وحياكة الملابس الرجالية غير العربية,ظفار,طاقة,
صنع الفطائر بأنواعها,ظفار,طاقة,
تحضير أو تعليب أو حفظ الفواكه وعصيرها,ظفار,طاقة,
صنع لوازم ومعدات الإنارة (النجف والثريات المعدنية ... إلخ),ظفار,طاقة,
تفصيل وخياطة الملابس النسائية العربية وغير العربية,ظفار,طاقة,
انتاج وتعبئة المياه المعدنية,ظفار,طاقة,
صنع الشيكولاته والحلويات المصنوعة من الشيكولاته,ظفار,طاقة,
تجهيز وبسترة وتعبئة الحليب واللبن الطازج,ظفار,طاقة,
تشغيل المسالخ (ذبح وتهيئة لحوم المواشي),ظفار,طاقة,
صنع الحلي والمجوهرات من المعادن الثمينة أو من الأحجار الكريمة (تشمل صياغة الذهب والفضة),ظفار,طاقة,
مراكز اللياقة البدنية يشمل مراكز كمال الأجسام,ظفار,طاقة,
أنشطة مدن التسلية ومدن الألعاب (الملاهي وألعاب التسلية),ظفار,طاقة,
المغامرات السياحية,ظفار,طاقة,
مقاهي الإنترنت (خدمات النفاذ للانترنت العامة),ظفار,طاقة,
النقل البري بالشاحنات للبضائع والسوائل والمعدات (مجدول - غير مجدول),ظفار,طاقة,
مكاتب التخليص الجمركي,ظفار,طاقة,
نقل النفايات والمخلفات,ظفار,طاقة,
شحن وتفريغ السلع (بغض النظر عن أسلوب النقل المستخدم),ظفار,طاقة,
تركيب وتمديد وإصلاح الأعمال الكهربائية,ظفار,طاقة,
المطاعم,ظفار,طاقة,
محلات البوظة (الآيس كريم),ظفار,طاقة,
المقاهي التي تقدم وجبات الطعام أساسا,ظفار,طاقة,
إصلاح وصيانة الغسالات والثلاجات والمكيفات,ظفار,طاقة,
قص وتصفيف الشعر والحلاقة للرجال,ظفار,طاقة,
غسيل جميع أنواع الملابس والمنسوجات,ظفار,طاقة,
إصلاح الدراجات الهوائية,ظفار,طاقة,
إصلاح وصيانة الأجهزة الإلكترونية (يشمل إصلاح الراديو والتليفزيون والأقراص المدمجة),ظفار,طاقة,
إدارة وتشغيل محطات تعبئة الوقود,ظفار,مرباط,23.0
المخازن التجارية العامة,ظفار,مرباط,8.0
إدارة الصالات,ظفار,مرباط,3.0
وزساطة العقارات (مكاتب الدلاليل),ظفار,مرباط,2.0
تنظيم أنشطة تقديم الرعاية الصحية والتعليم والخدمات الثقافية وغيرها من الخدمات الاجتماعية، فيما عدا الضمان الاجتماعي,ظفار,مرباط,1.0
إدارة المشاريع السياحية,ظفار,مرباط,1.0
إدارة وتأجير العقارات المملوكة أو المؤجرة (السكنية وغير السكنية),ظفار,مرباط,1.0
شراء وبيع الأراضي والعقارات وتقسيمها,ظفار,مرباط,
أنشطة تصميم الديكور الداخلي,ظفار,مرباط,
أنشطة تخطيط وتصميم المناظر الطبيعية,ظفار,مرباط,
اختبار الأداء للآلات تامة الصنع,ظفار,مرباط,
أنشطة استوديوهات ومعامل التصوير,ظفار,مرباط,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,مرباط,
تغطية الأرضيات والجدران بالبلاط أو الباركيه أو الرخام أو السيراميك أو الموزاييك,ظفار,مرباط,
تركيب وإصلاح نظم التدفئة وتكييف الهواء,ظفار,مرباط,
أعمال الأساسات وهياكل الإنشاءات وأعمال الخرسانة ورص الطابوق ووضع الأحجار والسقالات وتغطية السقوف وغيرها,ظفار,مرباط,
مقاولات إنشاء شبكات ومحطات المياه والكهرباء والهاتف,ظفار,مرباط,
تشغيل مناجم الرمال أو الحصباء، بما في ذلك استخراج وتجريف الرمال الصناعية ورمال الإنشاءات والحصباء وتكسير وجرش الأحجار والحصباء (الكسارات),ظفار,مرباط,
تشغيل المحاجر,ظفار,مرباط,
تعدين الجبس والأنهيدريت,ظفار,مرباط,
التعليم الأساسي (المرحلة الأولى),ظفار,مرباط,
خدمات زراعية متعددة,ظفار,مرباط,
تربية الماشية والجاموس,ظفار,مرباط,
تربية الخيول للسباقات,ظفار,مرباط,
صيد الأسماك البحرية,ظفار,مرباط,
خدمات إستصلاح الأراضي للأغراض الزراعية,ظفار,مرباط,
جمع اللبان,ظفار,مرباط,
زراعة النباتات الحية لأغراض الغرس والزينة والشتلات (المشاتل),ظفار,مرباط,
تفصيل وخياطة وحياكة الملابس الرجالية العربية (محلات تفصيل خياطة الملابس الرجالية),ظفار,مرباط,
صنع منتجات خشبية متنوعة (ورش نجارة),ظفار,مرباط,
تفصيل وخياطة الملابس النسائية العربية وغير العربية,ظفار,مرباط,
صنع الشباك وشباك الصيد والحواجز الواقية على سطح السفن,ظفار,مرباط,
صنع قوارب وزوارق الصيد والسفن المشتملة على مصانع تجهيز الأسماك,ظفار,مرباط,
ورش الألمنيوم,ظفار,مرباط,
ذبح وتهيئة الدواجن والأرانب والطيور,ظفار,مرباط,
صنع الحلويات السكرية,ظفار,مرباط,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,مرباط,
قص وتفصيل الستائر,ظفار,مرباط,
صنع وتجهيز البخور,ظفار,مرباط,
انتاج وتعبئة المياه المعدنية,ظفار,مرباط,
صنع الطابوق الأسمنتي المفرغ والآجار,ظفار,مرباط,
صنع الدقيق والعجين للمخابز,ظفار,مرباط,
صنع الخبز ومنتجاته,ظفار,مرباط,
الطباعة بإستخدام الآلات الناسخة والحاسب الآلي والآلات المكتبية الأخرى مثل ناسخات الصور أو الناسخات الحرارية,ظفار,مرباط,
صنع المنتجات الحرفية من النسيج القطني أو الصوف,ظفار,مرباط,
تشغيل المسالخ (ذبح وتهيئة لحوم المواشي),ظفار,مرباط,
صنع الدفاتر والكراسات المدرسية، والأصناف المكتبية والمدرسية والتجارية الأخرى الورقية,ظفار,مرباط,
حفظ الأسماك والمنتجات السمكية والأحياء المائية الأخرى عن طريق التبريد أو التجميد,ظفار,مرباط,
اصلاح كهرباء السفن والقوارب,ظفار,مرباط,
صنع وتفصيل ملابس الرجال والنساء والأطفال الأخرى,ظفار,مرباط,
المغامرات السياحية,ظفار,مرباط,
النقل البري بالشاحنات للبضائع والسوائل والمعدات (مجدول - غير مجدول),ظفار,مرباط,
شحن وتفريغ السلع (بغض النظر عن أسلوب النقل المستخدم),ظفار,مرباط,
المطاعم,ظفار,مرباط,
المقاهي التي تقدم وجبات الطعام أساسا,ظفار,مرباط,
محلات البوظة (الآيس كريم),ظفار,مرباط,
المقاهي التي تقدم مشروبات أساسا,ظفار,مرباط,
إصلاح وصيانة أجهزة الحاسوب والمعدات الطرفية للحاسوب,ظفار,مرباط,
غسيل جميع أنواع الملابس والمنسوجات,ظفار,مرباط,
قص وتصفيف الشعر والحلاقة للرجال,ظفار,مرباط,
تصفيف الشعر وأنواع التجميل للنساء,ظفار,مرباط,
إدارة المشاريع السياحية,ظفار,مقشن,1.0
أنشطة دعم الخدمات للحكومة ككل، بإستثناء تشغيل المحفوظات الحكومية والمباني الحكومية,ظفار,مقشن,1.0
المخازن التجارية العامة,ظفار,مقشن,
أنشطة تصميم الديكور الداخلي,ظفار,مقشن,
مكتب إداري,ظفار,مقشن,
مقاولات البناء والتشييد (إنشاءات عامة للمباني السكنية والغير سكنية),ظفار,مقشن,
تشغيل مناجم الرمال أو الحصباء، بما في ذلك استخراج وتجريف الرمال الصناعية ورمال الإنشاءات والحصباء وتكسير وجرش الأحجار والحصباء (الكسارات),ظفار,مقشن,
انتاج وتعبئة المياه المعدنية,ظفار,مقشن,
صنع وتركيب المنتجات المعدنية المصنوعة من أجزاء في الوحدة ذاتها والمستخدمة في البناء والتشييد مثل النوافذ والأبواب والسلالم والمظلات وأشغال معدنية مماثلة (ورش الحدادة),ظفار,مقشن,
المطاعم,ظفار,مقشن,
